path,speed_mps,controller,mean_abs_cte_m,rms_cte_m,max_abs_cte_m,mean_abs_heading_error_deg,max_abs_heading_error_deg,mean_abs_steering_rate_deg_s,mean_speed_mps,duration_s
smooth_curvy,5,Pure Pursuit,0.06326393637939041,0.178424122631728,2.171564717589695,2.495692342391707,39.8348792778889,4.178211860948652,4.966757056948054,99.25
smooth_curvy,5,Stanley,0.23663734400766095,0.44483508807083655,2.609085757580813,2.455056042092478,37.28272855157054,6.2816460707893205,4.966270973876619,98.25
smooth_curvy,10,Pure Pursuit,0.11423674813350665,0.29769378756851905,2.1732566710971826,3.1835666141601173,38.87912213677562,8.050013707647649,9.729900872509157,50.85
smooth_curvy,10,Stanley,0.2571742757278312,0.46458833559180013,2.6180244571537368,2.649295706082453,37.93808373999555,10.29240195387551,9.729852346503348,50.5
smooth_curvy,15,Pure Pursuit,0.4020508985953878,0.8192836993128747,3.3495068554353966,5.014203091058888,39.38388669366039,11.603135790696298,14.09986771988742,35.45
smooth_curvy,15,Stanley,0.5739347956723335,1.0719659238773014,4.047340491382593,4.0401928385553,38.61945569390451,13.096423886575929,14.101585344966546,35.35
sharp_turns,5,Pure Pursuit,0.051089288631424104,0.11681696311872576,0.5349536848035323,2.0984596915078786,22.495503122440546,4.061612171245534,4.947196400086252,61.55
sharp_turns,5,Stanley,0.278297060724861,0.48417262870725075,1.4074068421659065,2.304336984903512,18.899865904750808,8.838900309734726,4.946285544190152,60.7
sharp_turns,10,Pure Pursuit,0.10944508417339725,0.2294703068603872,0.979747803911292,2.480762292388086,22.1014754124796,9.004985577659847,9.610092438981694,31.85
sharp_turns,10,Stanley,0.1276868489348742,0.20910336991312367,0.6255439913156803,1.5061649719153565,17.23110312587392,12.327354863439636,9.606044665670058,31.6
sharp_turns,15,Pure Pursuit,0.5199250391064766,0.9449393717960235,3.043870983574213,4.941689853641143,25.072578202810597,13.666345800023619,13.611215705887211,19.35
sharp_turns,15,Stanley,0.5778089714114164,0.9103320845597205,2.923662840915769,2.8848756937797306,23.513826556875994,16.07194909543337,13.76138946588608,22.6
